Specimen properties : Thickness,"2.70000",mm
Specimen properties : Width,"10.50000",mm
Specimen properties : Support span,"43.20000",mm

Time,Extension,Load
(s),(mm),(kgf)
"75.00000","4.99867","0.85036"
"75.10000","5.00537","0.85044"
"75.20000","5.01210","0.84982"
"75.30000","5.01863","0.84918"
"75.40000","5.02509","0.84846"
"75.50000","5.03207","0.84813"
"75.60000","5.03859","0.84752"
"75.70000","5.04512","0.84694"
"75.80000","5.05195","0.84746"
"75.90000","5.05903","0.84707"
"76.00000","5.06562","0.84679"
"76.10000","5.07180","0.84630"
"76.20000","5.07818","0.84579"
"76.30000","5.08535","0.84638"
"76.40000","5.09234","0.84610"
"76.50000","5.09882","0.84514"
"76.60000","5.10507","0.84448"
"76.70000","5.11184","0.84429"
"76.80000","5.11892","0.84447"
"76.90000","5.12545","0.84322"
"77.00000","5.13181","0.84221"
"77.10000","5.13830","0.84191"
"77.20000","5.14509","0.84162"
"77.30000","5.15204","0.84104"
"77.40000","5.15867","0.84068"
"77.50000","5.16561","0.84032"
"77.60000","5.17207","0.83920"
"77.70000","5.17843","0.83889"
"77.80000","5.18512","0.83889"
"77.90000","5.19189","0.83808"
"78.00000","5.19884","0.83715"
"78.10000","5.20521","0.83640"
"78.20000","5.21159","0.83536"
"78.30000","5.21872","0.83568"
"78.40000","5.22581","0.83519"
"78.50000","5.23221","0.83413"
"78.60000","5.23844","0.83287"
"78.70000","5.24481","0.83303"
"78.80000","5.25202","0.83239"
"78.90000","5.25889","0.83207"
"79.00000","5.26540","0.83131"
"79.10000","5.27190","0.83047"
"79.20000","5.27853","0.83007"
"79.30000","5.28556","0.82982"
"79.40000","5.29202","0.82929"
"79.50000","5.29843","0.82869"
"79.60000","5.30518","0.82858"
"79.70000","5.31179","0.82831"
